Component_1	Component_2	Percent
0.005838653	4.748051912	0.38974359
0.010516374	8.552021849	0.41025641
0.005242499	4.26325306	0.369230769
0.004356111	3.542433715	0.364102564
0.006364211	5.175440373	0.317948718
0.00760097	6.181185359	0.266666667
0.001328274	1.080165863	0
0.003787494	3.077964993	0.179487179
0.004146463	3.369687014	0.282051282
0.004923009	4.00075914	0.041025641
0.005062202	4.113875842	0.528205128
0.00613911	4.989041904	0.261538462
0.008410141	6.834630198	0.471794872
0.006556686	5.32839201	0.369230769
0.005384541	4.37583031	0.307692308
0.007278288	5.914812807	0.143589744
0.007853372	6.382163391	0.01025641
0.007076826	5.751091264	0.261538462
0.008186701	6.653048124	0.425641026
0.004446825	3.61378095	0.071794872
0.004219722	3.42922212	0.394871795
0.010523665	8.552218014	0.133333333
